item, calories,fats, carbs, protein
STOUFFERS Meal Family Size Lasagna with Meat & Sauce Large - 57 Oz,290,  10g,  3g,  17g
Marie Callenders Entree Fettuccini With Chicken & Broccoli - 13 Oz,480,  20g,  44g,  3g
Stouffers Party Size Enchiladas Chicken With Cheese Sauce And Rice - 57 Oz,270,  7g,  41g,  4g
Screamin Sicilian Pizza Lp Frozen - 24.65 Oz,350,  17g,  32g,  4g
Screamin Sicilian Pizza Lp Frozen - 23.21 Oz,340,  16g,  31g,  4g
Marie Callenders Country Fried Chicken And Gravy - 13.1 Oz,460,  21g,  52g,  0g
STOUFFERS Classics Meal Meatloaf - 9.875 Oz,350,  17g,  2g,  22g
P.F. Changs Entrees Main Meal For Two Beef Broccoli - 22 Oz,360,  17g,  30g,  9g
Open Nature Pizza Cauliflower Crust Uncured Pepperoni Gluten Free Frozen - 10.63 Oz,410,  19g,  39g,  0g
Boston Market Home Style Meals Salisbury Steak in Savory Gravy with Mac & Cheese - 14.5 Oz,530,  32g,  2g,  22g
Marie Callenders Roasted Turkey Breast And Stuffing - 11.85 Oz,280,  7g,  33g,  0g
Signature SELECT World Cuisine Teriyaki Chicken - 9 Oz,330,  7g,  2g,  18g
Stouffers Family Size Lasagna With Meat & Sauce - 38 Oz,270,  9g,  2g,  15g
STOUFFERS Classics Meal Lasagna with Meat & Sauce - 19 Oz,230,  8g,  2g,  15g
Red Baron Pizza French Bread Singles Pepperoni 2 Count - 10.8 Oz,370,  14g,  45g,  5g
STOUFFERS Classics Meal Fettuccini Alfredo - 11.5 Oz,340,  37g,  58g,  6g
Signature SELECT Gourmet Club Frozen Chicken Enchilada - 32 Oz,220,  10g,  2g,  10g
HUNGRY-MAN Selects Frozen Meal Classic Fried Chicken - 16 Oz,970,  59g,  3g,  39g
STOUFFERS Classics Meal Spaghetti With Meat Sauce - 12 Oz,410,  13g,  4g,  19g
HUNGRY-MAN Frozen Meal Boneless Fried Chicken - 16 Oz,800,  39g,  5g,  26g
Devour Frozen Entrees/Sides Loaded Cheesy Potatoes With Bacon & Angus Beef - 9 Oz,330,  14g,  3g,  19g
STOUFFERS Classics Meal Lasagna with Meat & Sauce - 10.5 Oz,370,  13g,  3g,  21g
Healthy Choice Cafe Steamers Street Corn Mexican Style - 9.25 Oz,240,  5g,  30g,  0g
Healthy Choice Power Bowls Spicy Beef Teriyaki With Riced Cauliflower - 9.25 Oz,180,  5g,  15g,  0g
Ling Ling Tonkotsu Chicken Ramen - 9.15 Oz,330,  5g,  2g,  17g
Marie Callenders Meal Beef & Broccoli Bowl Tender Ginger Box - 11.8 Oz,360,  6g,  57g,  0g
Tai Pei Entree Fried Rice Chicken - 11 Oz,520,  13g,  4g,  19g
Banana - Each,110,  0g,  30g,  19g
Avocados Hass Large,80,  8g,  4g,  0g
Cherries Red - 2 Lbs.,97,  0g,  25g,  20g
Honeycrisp Apple,80,  0g,  22g,  16g
Seedless Mini Watermelon - Each,30,  0.1g,  7.5g,  6.2g
Raspberries Prepackaged - 6 Oz,50,  0g,  8g,  1g
Red Seedless Grapes,90,  0g,  23g,  20g
Halos California Mandarins - 2 Lbs..,45,  0g,  2g,  1g
Red Seedless Watermelon,80,  0g,  21g,  20g
Green Seedless Grapes - 2 Lbs.,90,  0g,  23g,  20g
Signature Farms Hass Avocados Prepacakaged - 5 Count,(-),  0g,  0g,  
Cantaloupe Melon - Each,50,  0g,  12g,  11g
Cherries Rainier - 1.25 Lbs.,5,  0g,  1.3g,  1g
Yellow Nectarines,60,  0.5g,  15g,  11g
Yellow Peaches,60,  0.5g,  15g,  13g
Fuji Large Apple,130,  0g,  34g,  25g
Oranges Navel Large,80,  0g,  19g,  14g
Signature Farms Fuji Apples Prepackaged - 3 Lb,95,  0.3g,  25g,  19g
Gala Apples Prepacked Bag - 3 Lb,80,  1g,  18g,  16g
Organic Strawberries Prepackaged - 1 Lb,(-),  0g,  0g,  
Lemons Large,15,  0g,  5g,  2g
Organic Hass Avocados,50,  4.5g,  3g,  0g
Organic Blueberries Prepackaged - 6 Oz,(-),  0g,  0g,  
Gold Pineapple - Each,50,  0g,  13g,  10g
Signature SELECT Beans Pinto - 32 Oz,80,  1g,  21g,  1g
Signature SELECT Beans Lentil Dry - 16 Oz,100,  0.5g,  23g,  0g
Signature SELECT Split Peas Green Dry - 16 Oz,100,  1g,  21g,  0g
Signature SELECT Beans Pinto Dry - 16 Oz,80,  1g,  21g,  0g
Signature SELECT Beans Great Northern Dry - 16 Oz,80,  0.5g,  21g,  0g
Signature SELECT Beans Red Kidney Dry - 16 Oz,80,  0.5g,  21g,  0g
Signature SELECT Beans Black Dry - 16 Oz,80,  1g,  21g,  0g
